"","date","crimes","arson","assault","damage","disorder","dui","drug","larceny","vehi_theft","family","away_team","home_team","day_night","completed","pitch","attendance","game_time","name","city","state","Game","Date","Opponent","Score","Decision","Record","X","X.1","X.2","X.3","X.4","X.5"
"157",2018-06-06,633,0,163,57,4,0,0,175,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",2018-06-07,640,1,145,58,4,0,0,214,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",2018-06-08,724,1,179,77,5,0,0,219,13,4,"ATL","LAN","N",NA,"LOS03",47262,172,"Dodger Stadium","Los Angeles","CA","63","06-08-2018","vs Atlanta Braves","7-3","W","32-31",NA,NA,NA,NA,NA,NA
"160",2018-06-09,640,0,182,64,3,0,0,184,6,2,"ATL","LAN","N",NA,"LOS03",52718,191,"Dodger Stadium","Los Angeles","CA","64","06-09-2018","vs Atlanta Braves","3-5","L","32-32",NA,NA,NA,NA,NA,NA
"161",2018-06-10,658,0,216,71,2,0,0,162,5,1,"ATL","LAN","D",NA,"LOS03",47711,157,"Dodger Stadium","Los Angeles","CA","65","06-10-2018","vs Atlanta Braves","7-2","W","33-32",NA,NA,NA,NA,NA,NA
"162",2018-06-11,665,1,178,49,8,0,0,171,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",2018-06-12,604,0,145,57,3,0,0,186,9,3,"TEX","LAN","N",NA,"LOS03",48233,188,"Dodger Stadium","Los Angeles","CA","66","06-12-2018","vs Texas Rangers","12-5","W","34-32",NA,NA,NA,NA,NA,NA
"164",2018-06-13,670,1,162,62,8,0,0,196,7,4,"TEX","LAN","N",NA,"LOS03",41303,229,"Dodger Stadium","Los Angeles","CA","67","06-13-2018","vs Texas Rangers","3-2","W","35-32",NA,NA,NA,NA,NA,NA
"165",2018-06-14,633,1,169,51,4,0,0,180,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",2018-06-15,714,1,182,61,2,0,0,212,10,4,"SFN","LAN","N",NA,"LOS03",53433,173,"Dodger Stadium","Los Angeles","CA","68","06-15-2018","vs San Francisco Giants","3-2","W","36-32",NA,NA,NA,NA,NA,NA
"167",2018-06-16,633,0,157,63,6,0,0,183,10,4,"SFN","LAN","N",NA,"LOS03",53706,170,"Dodger Stadium","Los Angeles","CA","69","06-16-2018","vs San Francisco Giants","3-1","W","37-32",NA,NA,NA,NA,NA,NA
"168",2018-06-17,612,3,166,65,7,0,0,174,10,7,"SFN","LAN","D",NA,"LOS03",49541,174,"Dodger Stadium","Los Angeles","CA","70","06-17-2018","vs San Francisco Giants","1-4","L","37-33",NA,NA,NA,NA,NA,NA
"169",2018-06-18,603,3,166,53,2,0,0,196,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2018-06-19,584,2,143,52,4,0,0,170,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",2018-06-20,621,2,145,54,3,0,0,188,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",2018-06-21,607,0,152,56,0,0,0,183,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2018-06-22,638,0,147,56,3,0,0,200,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",2018-06-23,665,1,188,67,1,0,0,220,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",2018-06-24,682,1,205,65,3,0,0,225,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2018-06-25,660,1,180,73,4,0,0,162,9,1,"CHN","LAN","N",NA,"LOS03",41750,152,"Dodger Stadium","Los Angeles","CA","77","06-25-2018","vs Chicago Cubs","2-1","W","42-35",NA,NA,NA,NA,NA,NA
"177",2018-06-26,620,0,174,60,2,0,0,189,9,3,"CHN","LAN","N",NA,"LOS03",53904,206,"Dodger Stadium","Los Angeles","CA","78","06-26-2018","vs Chicago Cubs","4-9","L","42-36",NA,NA,NA,NA,NA,NA
"178",2018-06-27,647,4,172,49,6,0,0,198,9,2,"CHN","LAN","N",NA,"LOS03",42121,188,"Dodger Stadium","Los Angeles","CA","79","06-27-2018","vs Chicago Cubs","7-5","W","43-36",NA,NA,NA,NA,NA,NA
